Sample	Sample	Run1	Issues	Requirement	Run2	Issues	Requirements	Run3	Issues	Requirements
x	257134	mt45	HV2F nhiễu, HV3R polyC	chạy lại PCR-bigdye HV2F, chạy bổ sung HV3F	20250524_mtDNA_45_5samples	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	257135	mt45	4 trình tự failed	chạy lại từ tách hoặc PCR tùy thuộc kết quả QC	20250702_mtDNA_45_257135	None	trả KQ			
x	257142	mt45	HV2F failed, HV3R tín hiệu yếu	chạy lại PCR-bigdye HV2F, HV3R	20250524_mtDNA_45_5samples	None	trả KQ			
x	257206	mt46	HV2F fail	chạy lại PCR-bigdye HV2F	20250524_mtDNA_46_3samples	None	trả KQ			
x	257221	mt46	HV3R nhiễu	chạy lại PCR-bigdye HV3R, chạy bổ sung HV3F	20250524_mtDNA_46_3samples	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	257241	mt46	HV3R nhiễu	chạy lại PCR-bigdye HV3R, chạy bổ sung HV3F	20250524_mtDNA_46_3samples	None	trả KQ			
x	257279	mt47	HV3R nhiễu	chạy lại PCR-bigdye HV3R, chạy bổ sung HV3F	20250624_mtDNA_47_8 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	257296	mt47	HV1F nhiễu, HV3R failed	chạy lại PCR-bigdye HV1F và HV3R, chạy bổ sung HV3F	20250624_mtDNA_47_8 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	257298	mt47	HV1F nhiễu	chạy lại PCR-bigdye HV1F	20250624_mtDNA_47_8 mẫu	NONE	trả KQ			
x	257315	mt47	HV3R nhiễu	chạy lại PCR-bigdye HV3R, chạy bổ sung HV3F	20250624_mtDNA_47_8 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	257318	mt47	HV3R nhiễu	chạy lại PCR-bigdye HV3R	20250624_mtDNA_47_8 mẫu	NONE	trả KQ			
x	257320	mt47	HV1R failed	chạy lại PCR-bigdye HV1R	20250624_mtDNA_47_8 mẫu	NONE	trả KQ			
x	257321	mt47	HV3R nhiễu	chạy lại PCR-bigdye HV3R, chạy bổ sung HV3F	20250624_mtDNA_47_8 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	257715	mt47	khả năng nhiễm mẫu	chạy lại từ bước tách chiết	20250624_mtDNA_47_8 mẫu	vẫn mixed	tách lại cả 2 ống máu -> GTT lại	20250710_mtDNA_47_257715		trả KQ
x	257751	mt48	HV2F nhiễu	chạy lại PCR-bigdye HV2F	20250624_mtDNA_48_6 mẫu	NONE	trả KQ			
x	257771	mt48	HV3R nhiễu	chạy lại PCR-bigdye HV3R	20250624_mtDNA_48_6 mẫu	NONE	trả KQ			
x	257773	mt48	HV1F nhiễu	chạy lại PCR-bigdye HV1F	20250624_mtDNA_48_6 mẫu	NONE	trả KQ			
x	257780	mt48	HV1F, HV3R nhiễu	chạy lại PCR-bigdye HV1F, HV3R	20250624_mtDNA_48_6 mẫu	NONE	trả KQ			
x	257781	mt48	HV3R nhiễu	chạy lại PCR-bigdye HV3R	20250624_mtDNA_48_6 mẫu	NONE	trả KQ			
x	257782	mt48	HV1F nhiễu, HV1R dyeblob	chạy lại PCR-bigdye HV1F, HV1R	20250624_mtDNA_48_6 mẫu	NONE	trả KQ			
x	256694	mt43	HV1F nhiễu	chạy lại PCR-bigdye HV1F	20250624_mtDNA_43_2 mẫu	NONE	trả KQ			
x	256717	mt43	HV1F nhiễu	chạy lại PCR-bigdye HV1F	20250624_mtDNA_43_2 mẫu	NONE	trả KQ			
x	257851	mt49	HV2F dyeblob	chạy lại PCR-bigdye HV2F	20250624_mtDNA_49_2 mẫu	1R dyeblob	rePCR-BD 1R	20250710_mtDNA_49_257851		trả KQ
x	257879	mt49	HV3R nhiễu	chạy lại PCR-bigdye HV3R, chạy bổ sung HV3F	20250624_mtDNA_49_2 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	258467	mt52	tín hiệu polyC HV1 phức tạp	tạm giữ lại để phân tích tiếp --> tách lại	20250707_mtDNA_52_258467	none	trả KQ	2517569 có LS trùng tên nhưng hồ sơ khác --> ko check được để phân tích --> tách lại		
x	258390	mt51	tín hiệu polyC HV1 phức tạp	tạm giữ lại để phân tích tiếp --> tách lại	20250624_mtDNA_51_2 mẫu	none	kết hợp 3 run trả KQ	20250707_mtDNA_51_258390		Trả KQ
x	258383	mt51	HV2F fail	chạy lại PCR-bigdye HV2F	20250624_mtDNA_51_2 mẫu	NONE	Trả KQ			
x	259138	mt55	HV3R dyeblob	chạy lại PCR-bigdye HV3R	20250624_mtDNA_55_1 mẫu	NONE	trả KQ			
x	259350	mt57	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_57_1 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	259883	mt58	HV2F ngắn	chạy lại PCR-bigdye HV2F	20250624_mtDNA_58_1 mẫu	NONE	trả KQ			
